year;respondent;judge
1998;ALB;TRAJA
1999;ALB;TRAJA
2000;ALB;TRAJA
2001;ALB;TRAJA
2002;ALB;TRAJA
2003;ALB;TRAJA
2004;ALB;TRAJA
2005;ALB;TRAJA
2006;ALB;TRAJA
2007;ALB;TRAJA
2008;ALB;
2009;ALB;BIANKU
2010;ALB;BIANKU
2011;ALB;BIANKU
2012;ALB;BIANKU
2013;ALB;BIANKU
2014;ALB;BIANKU
2015;ALB;BIANKU
2016;ALB;BIANKU
2017;ALB;BIANKU
2018;ALB;BIANKU
2019;ALB;
2020;ALB;PAVLI
1996;AND;CASADEVALL
1997;AND;CASADEVALL
1998;AND;CASADEVALL
1999;AND;CASADEVALL
2000;AND;CASADEVALL
2001;AND;CASADEVALL
2002;AND;CASADEVALL
2003;AND;CASADEVALL
2004;AND;CASADEVALL
2005;AND;CASADEVALL
2006;AND;CASADEVALL
2007;AND;CASADEVALL
2008;AND;CASADEVALL
2009;AND;CASADEVALL
2010;AND;CASADEVALL
2011;AND;CASADEVALL
2012;AND;CASADEVALL
2013;AND;CASADEVALL
2014;AND;CASADEVALL
2015;AND;
2016;AND;PASTOR VILANOVA
2017;AND;PASTOR VILANOVA
2018;AND;PASTOR VILANOVA
2019;AND;PASTOR VILANOVA
2020;AND;PASTOR VILANOVA
2003;ARM;GYULUMYAN
2004;ARM;GYULUMYAN
2005;ARM;GYULUMYAN
2006;ARM;GYULUMYAN
2007;ARM;GYULUMYAN
2008;ARM;GYULUMYAN
2009;ARM;GYULUMYAN
2010;ARM;GYULUMYAN
2011;ARM;GYULUMYAN
2012;ARM;GYULUMYAN
2013;ARM;GYULUMYAN
2014;ARM;GYULUMYAN
2015;ARM;HARUTYUNYAN
2016;ARM;HARUTYUNYAN
2017;ARM;HARUTYUNYAN
2018;ARM;HARUTYUNYAN
2019;ARM;HARUTYUNYAN
2020;ARM;HARUTYUNYAN
1990;AUT;MATSCHER
1991;AUT;MATSCHER
1992;AUT;MATSCHER
1993;AUT;MATSCHER
1994;AUT;MATSCHER
1995;AUT;MATSCHER
1996;AUT;MATSCHER
1997;AUT;MATSCHER
1998;AUT;
1999;AUT;FUHRMANN
